example_id                                               | status | run_time        |
./spec/routing/tasks_routing_spec.rb[1:1:3]              | passed | 0.00176 seconds |
./spec/routing/tasks_routing_spec.rb[1:1:4]              | passed | 0.00179 seconds |
./spec/routing/tasks_routing_spec.rb[1:1:5]              | passed | 0.00212 seconds |
./spec/routing/works_routing_spec.rb[1:1:1]              | passed | 0.00231 seconds |
./spec/routing/works_routing_spec.rb[1:1:2]              | passed | 0.01709 seconds |
./spec/routing/works_routing_spec.rb[1:1:3]              | passed | 0.00225 seconds |
./spec/routing/works_routing_spec.rb[1:1:4]              | passed | 0.00197 seconds |
./spec/routing/works_routing_spec.rb[1:1:5]              | passed | 0.00291 seconds |
./spec/routing/works_routing_spec.rb[1:1:6]              | passed | 0.00259 seconds |
./spec/routing/works_routing_spec.rb[1:1:7]              | passed | 0.00265 seconds |
./spec/routing/works_routing_spec.rb[1:1:8]              | passed | 0.00188 seconds |
